id_ptn,ptn_nama,jalur,id_prodi,kode_prodi,prodi,jenjang,portofolio,kelompok_bidang,is_fakultas,is_new,daya_tampung_kini,tahun,daya_tampung,peminat,terima,peminat_lag1,peminat_lag2,daya_tampung_lag1,terima_lag1,jumlah_prodi_ptn,total_peminat_ptn,proporsi_peminat_lokal,jumlah_provinsi_asal
141,UNIVERSITAS ANDALAS,SNBP,141006,11411006,KEDOKTERAN GIGI,S1,Tidak Ada,kesehatan,0,0,20,2025,20,546,20,503,617,20,20,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141007,11411007,KIMIA,S1,Tidak Ada,sains,0,0,40,2021,36,251,36,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141007,11411007,KIMIA,S1,Tidak Ada,sains,0,0,40,2022,24,205,24,251,,36,36,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141007,11411007,KIMIA,S1,Tidak Ada,sains,0,0,40,2023,36,187,36,205,251,24,24,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141007,11411007,KIMIA,S1,Tidak Ada,sains,0,0,40,2024,40,202,40,187,205,36,36,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141007,11411007,KIMIA,S1,Tidak Ada,sains,0,0,40,2025,40,245,40,202,187,40,40,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141008,11411008,BIOLOGI,S1,Tidak Ada,sains,0,0,40,2021,36,200,36,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141008,11411008,BIOLOGI,S1,Tidak Ada,sains,0,0,40,2022,24,212,24,200,,36,36,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141008,11411008,BIOLOGI,S1,Tidak Ada,sains,0,0,40,2023,36,147,36,212,200,24,24,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141008,11411008,BIOLOGI,S1,Tidak Ada,sains,0,0,40,2024,40,111,40,147,212,36,36,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141008,11411008,BIOLOGI,S1,Tidak Ada,sains,0,0,40,2025,40,204,40,111,147,40,40,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141009,11411009,MATEMATIKA,S1,Tidak Ada,sains,0,0,40,2021,30,270,30,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141009,11411009,MATEMATIKA,S1,Tidak Ada,sains,0,0,40,2022,24,206,24,270,,30,30,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141009,11411009,MATEMATIKA,S1,Tidak Ada,sains,0,0,40,2023,36,151,36,206,270,24,24,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141009,11411009,MATEMATIKA,S1,Tidak Ada,sains,0,0,40,2024,40,126,40,151,206,36,36,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141009,11411009,MATEMATIKA,S1,Tidak Ada,sains,0,0,40,2025,40,165,40,126,151,40,40,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141010,11411010,FISIKA,S1,Tidak Ada,sains,0,0,50,2021,36,100,36,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141010,11411010,FISIKA,S1,Tidak Ada,sains,0,0,50,2022,24,77,24,100,,36,36,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141010,11411010,FISIKA,S1,Tidak Ada,sains,0,0,50,2023,36,66,36,77,100,24,24,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141010,11411010,FISIKA,S1,Tidak Ada,sains,0,0,50,2024,40,73,40,66,77,36,36,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141010,11411010,FISIKA,S1,Tidak Ada,sains,0,0,50,2025,65,97,65,73,66,40,40,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141011,11411011,TEKNIK KOMPUTER,S1,Tidak Ada,teknik,0,0,20,2021,26,460,26,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141011,11411011,TEKNIK KOMPUTER,S1,Tidak Ada,teknik,0,0,20,2022,20,469,20,460,,26,26,48,21246,,
